,0
0,12655
1,15502
2,2908
3,14053
4,20496
5,1481
6,18125
7,5830
8,17989
9,4861
10,20615
11,11493
12,12386
13,2167
14,14562
15,17821
16,7667
17,10779
18,9390
19,11063
20,13860
21,1849
22,11789
23,6127
24,11835
25,11893
26,20337
27,15022
28,16634
29,4328
30,11646
31,6161
32,20439
33,18057
34,17604
35,14359
36,12479
37,8954
38,2454
39,6482
40,3941
41,12308
42,8058
43,14610
44,10858
45,7010
46,11875
47,1642
48,16453
49,20485
50,17783
51,9373
52,10932
53,2007
54,10774
55,19495
56,18719
57,621
58,13867
59,14750
60,6213
61,16709
62,13035
63,14335
64,1214
65,1824
66,11527
67,14144
68,16732
69,7826
70,19102
71,12471
72,19406
73,7927
74,3468
75,20502
76,2277
77,6234
78,3447
79,8392
80,2994
81,6377
82,15440
83,8617
84,3182
85,7165
86,1606
87,7290
88,1975
89,1271
90,5448
91,10591
92,3456
93,14852
94,408
95,13322
96,17922
97,14458
98,20291
99,14695
100,1371
101,7839
102,9067
103,460
104,15249
105,6285
106,267
107,821
108,5669
109,4598
110,10588
111,14045
112,9173
113,4958
114,1681
115,9281
116,14361
117,11114
118,12186
119,769
120,18025
121,1566
122,6003
123,6682
124,2314
125,1853
126,2599
127,6566
128,20019
129,6681
130,3799
131,4009
132,19387
133,1147
134,4649
135,15560
136,164
137,12437
138,12269
139,2402
140,2101
141,17455
142,9318
143,7385
144,18811
145,1789
146,5034
147,7164
148,11899
149,1401
150,17722
151,9873
152,1609
153,17028
154,4510
155,17486
156,7027
157,794
158,1105
159,3282
160,7970
161,11230
162,18364
163,14818
164,5894
165,6138
166,6235
167,15270
168,18366
169,2062
170,5270
171,15704
172,16445
173,19708
174,14371
175,11688
176,3021
177,6670
178,7912
179,5014
180,14098
181,1054
182,413
183,8250
184,20237
185,2863
186,13056
187,6811
188,6576
189,18757
190,10
191,12633
192,1507
193,598
194,18169
195,17510
196,706
197,12383
198,18831
199,9748
200,11705
201,13514
202,20060
203,6055
204,4759
205,1779
206,8066
207,8090
208,11831
209,3592
210,59
211,17039
212,12413
213,16051
214,20321
215,9299
216,18012
217,3613
218,14391
219,8503
220,520
221,11081
222,20371
223,14525
224,8412
225,15967
226,5647
227,9190
228,10034
229,7064
230,14013
231,12506
232,14212
233,587
234,12245
235,10991
236,20280
237,12329
238,9947
239,561
240,19039
241,20524
242,2408
243,9270
244,14974
245,8895
246,8154
247,1483
248,12314
249,12092
250,4734
251,11770
252,15084
253,12156
254,16749
255,10002
256,13295
257,11887
258,20173
259,20008
260,17097
261,6807
262,14660
263,6518
264,6820
265,3850
266,6911
267,20430
268,1416
269,1672
270,13100
271,2341
272,16270
273,7270
274,2025
275,13205
276,16803
277,6834
278,6380
279,2306
280,18278
281,5868
282,14513
283,1234
284,16228
285,7163
286,13993
287,1977
288,16341
289,7286
290,17222
291,16617
292,12517
293,9550
294,5087
295,3746
296,16443
297,15512
298,19631
299,5449
300,19367
301,18197
302,19542
303,20534
304,2499
305,19183
306,15914
307,12640
308,6716
309,13003
310,2505
311,19269
312,3034
313,6939
314,2370
315,10393
316,2006
317,12580
318,2452
319,15655
320,6089
321,5045
322,12590
323,7109
324,10307
325,14617
326,10594
327,15506
328,16177
329,9446
330,18664
331,6218
332,1869
333,13135
334,5459
335,10084
336,138
337,6781
338,1470
339,20449
340,10924
341,9890
342,13810
343,13400
344,4215
345,18307
346,18904
347,7179
348,8237
349,14310
350,3913
351,10964
352,2704
353,549
354,8779
355,13578
356,14732
357,9171
358,8599
359,7900
360,1309
361,4313
362,6086
363,3905
364,4251
365,8767
366,685
367,7287
368,496
369,8193
370,11533
371,18716
372,11237
373,10915
374,7943
375,10052
376,10744
377,3704
378,16934
379,177
380,8545
381,14227
382,3103
383,16926
384,9107
385,7351
386,7939
387,11513
388,3994
389,5214
390,4227
391,13384
392,12832
393,5692
394,12620
395,19223
396,10259
397,13574
398,14202
399,11148
400,2602
401,17747
402,2993
403,12936
404,19633
405,5071
406,17640
407,20024
408,5702
409,8266
410,9125
411,6630
412,4646
413,10058
414,14420
415,16168
416,7634
417,3849
418,2857
419,16110
420,11107
421,10057
422,11236
423,4356
424,3672
425,8880
426,2442
427,5246
428,11798
429,5650
430,16008
431,19150
432,7694
433,16694
434,15938
435,7363
436,15340
437,13437
438,14682
439,14738
440,3559
441,15020
442,2713
443,7515
444,7503
445,18065
446,17124
447,18128
448,237
449,20145
450,20336
451,14382
452,4523
453,11308
454,8896
455,19092
456,15251
457,12959
458,19426
459,5079
460,5156
461,12361
462,8488
463,640
464,8075
465,6763
466,6456
467,7365
468,89
469,13230
470,5346
471,13147
472,8909
473,6141
474,12952
475,18209
476,10145
477,9366
478,3687
479,2637
480,19565
481,4701
482,12319
483,1347
484,19887
485,6079
486,16262
487,19521
488,19213
489,18806
490,13971
491,8795
492,4694
493,15493
494,7895
495,10978
496,6782
497,19722
498,8436
499,7258
500,2880
501,147
502,18315
503,4611
504,13616
505,10523
506,83
507,15151
508,17802
509,16643
510,14012
511,6155
512,12791
513,1557
514,15317
515,15327
516,19517
517,2593
518,17682
519,3017
520,6023
521,12076
522,13542
523,17408
524,2140
525,8699
526,6513
527,10187
528,4186
529,2224
530,16070
531,5806
532,14967
533,3886
534,19070
535,17021
536,7372
537,6711
538,4291
539,10636
540,5007
541,9208
542,6029
543,17592
544,13238
545,19847
546,12022
547,8194
548,17474
549,12606
550,10168
551,8651
552,5853
553,18690
554,8140
555,205
556,13110
557,12584
558,9600
559,12487
560,13792
561,10931
562,15831
563,9961
564,6970
565,7767
566,18035
567,18804
568,20317
569,10724
570,14623
571,18899
572,8579
573,6065
574,16554
575,10006
576,10258
577,785
578,13695
579,17623
580,6708
581,15679
582,7202
583,17115
584,15539
585,16756
586,17868
587,13698
588,8729
589,4760
590,5326
591,14928
592,1495
593,10140
594,1435
595,9664
596,3064
597,16367
598,20610
599,2393
600,2012
601,8333
602,15711
603,14546
604,16650
605,13890
606,7834
607,7143
608,12179
609,13585
610,7322
611,10725
612,17476
613,11722
614,1211
615,7712
616,10427
617,860
618,9805
619,1953
620,11129
621,120
622,7942
623,4512
624,6194
625,14726
626,2981
627,14700
628,7490
629,15927
630,897
631,13738
632,2239
633,16107
634,2064
635,10772
636,3809
637,9462
638,16322
639,16118
640,978
641,17330
642,7170
643,10352
644,7481
645,20148
646,16231
647,16885
648,3475
649,2741
650,19571
651,9490
652,12819
653,8174
654,4308
655,14910
656,10432
657,19285
658,17738
659,16748
660,18079
661,19474
662,13333
663,188
664,2335
665,8470
666,5886
667,13153
668,1272
669,8878
670,18865
671,12442
672,4556
673,4410
674,17459
675,7243
676,2038
677,18486
678,10209
679,11943
680,3246
681,11512
682,14324
683,7761
684,2
685,9200
686,3177
687,5885
688,7617
689,16553
690,11273
691,3473
692,17104
693,4634
694,4925
695,1737
696,516
697,19900
698,12929
699,19532
700,18151
701,16535
702,4764
703,12973
704,906
705,11391
706,9556
707,15639
708,18813
709,11348
710,1752
711,16278
712,12295
713,4451
714,19271
715,5219
716,9347
717,4637
718,7829
719,9636
720,15600
721,7899
722,5271
723,363
724,7802
725,16692
726,8999
727,2144
728,3441
729,19277
730,4463
731,16211
732,13170
733,12052
734,3930
735,13159
736,6084
737,3393
738,14507
739,13465
740,1928
741,5537
742,1283
743,16599
744,10410
745,19924
746,7840
747,13069
748,19244
749,3298
750,19067
751,11921
752,13340
753,15155
754,11035
755,17183
756,11754
757,16044
758,16490
759,3387
760,4192
761,14215
762,624
763,9345
764,16026
765,16607
766,9369
767,4892
768,18214
769,17685
770,18555
771,16841
772,17458
773,3664
774,6896
775,13973
776,3841
777,7447
778,3321
779,14788
780,16164
781,17643
782,1040
783,20084
784,5775
785,20149
786,1616
787,18759
788,7492
789,17607
790,712
791,432
792,19632
793,7525
794,595
795,9716
796,10478
797,17974
798,3596
799,17350
800,12176
801,2289
802,3001
803,17008
804,10225
805,5953
806,1427
807,8995
808,4695
809,4408
810,13822
811,16184
812,14622
813,7141
814,2988
815,10886
816,16284
817,16047
818,18042
819,7790
820,15387
821,14881
822,63
823,19265
824,13282
825,14117
826,15945
827,13511
828,18779
829,3063
830,3821
831,7527
832,10731
833,16817
834,6222
835,2388
836,17009
837,47
838,10346
839,11452
840,10667
841,16775
842,19440
843,6195
844,19605
845,9098
846,3004
847,17653
848,78
849,16840
850,15416
851,11416
852,7910
853,3235
854,17692
855,1388
856,3253
857,16408
858,13781
859,18751
860,18428
861,13700
862,2333
863,11614
864,901
865,19018
866,10936
867,19548
868,12390
869,11437
870,12436
871,11703
872,7606
873,12939
874,2721
875,1311
876,20492
877,16003
878,3838
879,15549
880,322
881,11294
882,4886
883,17442
884,4945
885,13699
886,3384
887,13257
888,4743
889,6075
890,18388
891,15341
892,17622
893,18273
894,10745
895,3401
896,13808
897,19240
898,15605
899,18735
900,7718
901,8706
902,17056
903,3431
904,19922
905,5747
906,13897
907,15835
908,12877
909,7483
910,12411
911,10973
912,7185
913,4004
914,8003
915,15718
916,6363
917,15265
918,4039
919,9039
920,3181
921,4721
922,15238
923,20083
924,13924
925,9954
926,81
927,16710
928,3367
929,13096
930,590
931,16632
932,20620
933,8475
934,5067
935,17429
936,837
937,19985
938,1876
939,14559
940,6979
941,10971
942,2021
943,15319
944,14715
945,19174
946,4729
947,7724
948,9335
949,2610
950,10753
951,7231
952,14160
953,13259
954,18540
955,15432
956,16912
957,8778
958,5122
959,5412
960,13949
961,5099
962,16941
963,19607
964,16348
965,2822
966,871
967,11917
968,5511
969,15339
970,19221
971,2259
972,15177
973,11744
974,5613
975,2732
976,5821
977,19741
978,446
979,5479
980,17962
981,6061
982,12592
983,4808
984,4689
985,18112
986,17306
987,20213
988,8714
989,1274
990,1215
991,7478
992,68
993,4912
994,2128
995,19
996,7624
997,19001
998,15158
999,11936
1000,19598
1001,2138
1002,7865
1003,11820
1004,5872
1005,10704
1006,8810
1007,16988
1008,19470
1009,150
1010,19414
1011,9827
1012,14192
1013,10236
1014,4382
1015,6144
1016,4335
1017,5535
1018,16024
1019,6323
1020,17885
1021,2514
1022,5357
1023,12804
1024,17975
1025,10552
1026,12234
1027,9985
1028,10877
1029,6651
1030,5252
1031,7838
1032,19489
1033,15053
1034,7721
1035,10851
1036,18174
1037,3582
1038,8324
1039,9045
1040,8549
1041,18074
1042,6375
1043,6793
1044,18783
1045,7587
1046,6293
1047,19121
1048,12146
1049,20332
1050,9491
1051,8618
1052,17879
1053,6660
1054,17936
1055,16866
1056,5286
1057,9401
1058,13815
1059,19012
1060,9183
1061,3030
1062,6401
1063,2980
1064,7155
1065,5790
1066,13741
1067,2254
1068,5082
1069,273
1070,5777
1071,15121
1072,17239
1073,17404
1074,3688
1075,16739
1076,4274
1077,17197
1078,2227
1079,17265
1080,16099
1081,12767
1082,9998
1083,6000
1084,12039
1085,19095
1086,50
1087,6370
1088,1399
1089,5043
1090,3083
1091,18
1092,344
1093,2616
1094,5115
1095,8556
1096,3029
1097,6858
1098,20410
1099,19957
1100,11017
1101,15099
1102,2882
1103,3741
1104,5979
1105,14977
1106,3076
1107,12782
1108,10032
1109,2203
1110,6226
1111,11235
1112,14030
1113,8848
1114,9814
1115,9926
1116,12075
1117,17220
1118,15670
1119,1945
1120,573
1121,3117
1122,11510
1123,5901
1124,14512
1125,16038
1126,11206
1127,13393
1128,14548
1129,3062
1130,1955
1131,15309
1132,506
1133,17216
1134,7807
1135,2537
1136,13724
1137,3973
