,median_house_value
0,103000.0
1,382100.0
2,172600.0
3,93400.0
4,96500.0
5,264800.0
6,157300.0
7,500001.0
8,139800.0
9,315600.0
10,231900.0
11,159400.0
12,96000.0
13,187500.0
14,229900.0
15,117700.0
16,169600.0
17,130800.0
18,157400.0
19,94100.0
20,72700.0
21,500001.0
22,95800.0
23,97500.0
24,78800.0
25,292000.0
26,42500.0
27,187500.0
28,218200.0
29,87500.0
30,146300.0
31,137400.0
32,276700.0
33,180500.0
34,155300.0
35,276000.0
36,75800.0
37,167600.0
38,293700.0
39,225400.0
40,500001.0
41,223900.0
42,89300.0
43,294500.0
44,195800.0
45,167800.0
46,137900.0
47,159200.0
48,77100.0
49,173100.0
50,181700.0
51,265700.0
52,96700.0
53,164200.0
54,250000.0
55,434700.0
56,500001.0
57,92600.0
58,242000.0
59,234800.0
60,168800.0
61,154400.0
62,64000.0
63,80000.0
64,322200.0
65,370400.0
66,181300.0
67,114200.0
68,112500.0
69,158100.0
70,277700.0
71,154200.0
72,105000.0
73,286500.0
74,190200.0
75,63100.0
76,189900.0
77,57100.0
78,282100.0
79,350000.0
80,173900.0
81,218800.0
82,225000.0
83,101200.0
84,164700.0
85,132000.0
86,245500.0
87,254200.0
88,301500.0
89,188500.0
90,184000.0
91,101800.0
92,220700.0
93,500001.0
94,202200.0
95,387800.0
96,114200.0
97,47500.0
98,154800.0
99,444200.0
100,500001.0
101,103800.0
102,67500.0
103,156800.0
104,335000.0
105,75600.0
106,93100.0
107,168600.0
108,398800.0
109,336500.0
110,230900.0
111,252800.0
112,361800.0
113,298400.0
114,111500.0
115,151400.0
116,100600.0
117,235600.0
118,242700.0
119,66800.0
120,500001.0
121,374000.0
122,230000.0
123,141100.0
124,170300.0
125,241500.0
126,60300.0
127,420000.0
128,224700.0
129,151500.0
130,82100.0
131,104200.0
132,361400.0
133,187500.0
134,295300.0
135,216200.0
136,66300.0
137,98000.0
138,175000.0
139,460000.0
140,122600.0
141,335700.0
142,173200.0
143,233200.0
144,84200.0
145,96000.0
146,79600.0
147,446600.0
148,180700.0
149,101900.0
150,77400.0
151,500001.0
152,243400.0
153,141400.0
154,213000.0
155,500001.0
156,248000.0
157,160600.0
158,143500.0
159,200000.0
160,101900.0
161,220900.0
162,253800.0
163,151600.0
164,133400.0
165,146200.0
166,294000.0
167,85400.0
168,208300.0
169,309700.0
170,100000.0
171,173400.0
172,88800.0
173,334400.0
174,94200.0
175,151400.0
176,390500.0
177,116600.0
178,153100.0
179,174600.0
180,84900.0
181,125000.0
182,162500.0
183,500001.0
184,99200.0
185,457500.0
186,500001.0
187,148800.0
188,119400.0
189,330500.0
190,64700.0
191,184900.0
192,82400.0
193,400400.0
194,500001.0
195,43500.0
196,110900.0
197,63300.0
198,329600.0
199,92400.0
200,500001.0
201,174200.0
202,201600.0
203,131300.0
204,243200.0
205,193800.0
206,274300.0
207,217500.0
208,109400.0
209,189700.0
210,189600.0
211,155700.0
212,176300.0
213,239900.0
214,110200.0
215,202500.0
216,149600.0
217,225400.0
218,273000.0
219,277200.0
220,158800.0
221,65100.0
222,139100.0
223,146900.0
224,136600.0
225,443800.0
226,47500.0
227,372200.0
228,52500.0
229,81300.0
230,187800.0
231,239300.0
232,129200.0
233,116100.0
234,274000.0
235,143400.0
236,87500.0
237,223200.0
238,225200.0
239,126600.0
240,242200.0
241,200000.0
242,68400.0
243,133400.0
244,179800.0
245,82100.0
246,298600.0
247,247600.0
248,231100.0
249,289500.0
250,119300.0
251,188600.0
252,111300.0
253,95500.0
254,200000.0
255,183700.0
256,70100.0
257,186300.0
258,500001.0
259,192600.0
260,152100.0
261,199000.0
262,99800.0
263,58600.0
264,209600.0
265,121400.0
266,227500.0
267,55900.0
268,173200.0
269,269700.0
270,378300.0
271,165600.0
272,242900.0
273,236100.0
274,308300.0
275,234400.0
276,260800.0
277,207100.0
278,56100.0
279,89900.0
280,87700.0
281,138800.0
282,81100.0
283,252600.0
284,142900.0
285,34200.0
286,339400.0
287,141700.0
288,372200.0
289,149300.0
290,189000.0
291,152300.0
292,321900.0
293,500001.0
294,218500.0
295,196200.0
296,121900.0
297,500001.0
298,100600.0
299,137500.0
300,92500.0
301,349100.0
302,500001.0
303,276400.0
304,238600.0
305,500001.0
306,68300.0
307,53400.0
308,353100.0
309,209500.0
310,174800.0
311,344000.0
312,238900.0
313,296400.0
314,391300.0
315,311400.0
316,267200.0
317,179600.0
318,152800.0
319,218500.0
320,161700.0
321,173900.0
322,150600.0
323,99200.0
324,74000.0
325,252800.0
326,176500.0
327,147900.0
328,225600.0
329,126600.0
330,85700.0
331,57900.0
332,91600.0
333,446600.0
334,88300.0
335,407000.0
336,108900.0
337,500001.0
338,500001.0
339,94900.0
340,187200.0
341,238300.0
342,350000.0
343,294400.0
344,140100.0
345,157300.0
346,230000.0
347,150000.0
348,421300.0
349,180300.0
350,155200.0
351,87500.0
352,154600.0
353,197700.0
354,324300.0
355,90600.0
356,221000.0
357,291000.0
358,252600.0
359,247600.0
360,138100.0
361,500001.0
362,463800.0
363,335900.0
364,241400.0
365,114300.0
366,102700.0
367,87500.0
368,270700.0
369,176800.0
370,70600.0
371,121500.0
372,220500.0
373,500001.0
374,111400.0
375,161800.0
376,122400.0
377,420800.0
378,254200.0
379,101800.0
380,84200.0
381,86400.0
382,237500.0
383,312500.0
384,320400.0
385,88200.0
386,349200.0
387,57400.0
388,144600.0
389,62100.0
390,59900.0
391,91500.0
392,246400.0
393,174900.0
394,191100.0
395,500001.0
396,398600.0
397,256600.0
398,184400.0
399,112500.0
400,127800.0
401,148700.0
402,127900.0
403,186000.0
404,167400.0
405,42500.0
406,111000.0
407,260700.0
408,72800.0
409,277000.0
410,100000.0
411,474000.0
412,110200.0
413,454300.0
414,91800.0
415,179800.0
416,87500.0
417,116100.0
418,128000.0
419,77900.0
420,123100.0
421,79700.0
422,112100.0
423,286400.0
424,214900.0
425,234100.0
426,54400.0
427,220100.0
428,171900.0
429,257600.0
430,205100.0
431,111700.0
432,191100.0
433,22500.0
434,214700.0
435,445900.0
436,280800.0
437,325900.0
438,316700.0
439,116700.0
440,139700.0
441,125000.0
442,160400.0
443,118800.0
444,22500.0
445,66700.0
446,162500.0
447,126600.0
448,104600.0
449,170500.0
450,161400.0
451,327300.0
452,311600.0
453,192100.0
454,195900.0
455,93600.0
456,441700.0
457,238700.0
458,250800.0
459,201000.0
460,364200.0
461,212200.0
462,203000.0
463,152500.0
464,227700.0
465,394100.0
466,227300.0
467,75500.0
468,200600.0
469,430800.0
470,54400.0
471,98800.0
